from,to,relacion,frecuencia,intention,moral,att,norms,conform,my_country,my_age,my_expert
YoungAdults-Expert,Adults-Expert,Partner_breeder,3,5,0.26145701021611406,0.5773616638984099,0.06997357292594295,0.12574762532314096,Venezuela,YoungAdults,Expert
Adults-Expert,Adults-Expert,Third_party,2,5,-1.4785332319090967,1.2686611383190822,0.8382779387935201,-1.0793894782929114,Spain,Adults,Expert
Seniors-Amateur,Seniors-Expert,Partner_breeder,2,1,0.10514279017686864,-1.2789236699952071,-1.2867852598290563,-0.743787178817907,Venezuela,Seniors,Amateur
Adults-Expert,Adults-Expert,Experts,4,5,0.8188236912002285,1.2686611383190822,0.8382779387935201,-0.743787178817907,Venezuela,Adults,Expert
Adults-Amateur,Adults-Expert,Experts,2,5,-0.45676978952745306,-1.1971223091935972,-1.4396135336863225,0.12574762532314096,Venezuela,Adults,Amateur
Adults-Amateur,Adults-Expert,Partner_breeder,2,1,-1.9996367079893904,-1.2270991675712468,-1.8237657166201109,-0.743787178817907,Venezuela,Adults,Amateur
Seniors-Formation,Seniors-Expert,Partner_breeder,3,5,0.5401403507081713,-2.1341028158928075,-0.3386309949813237,-1.9489242824339592,Venezuela,Seniors,Formation
Adults-Expert,Adults-Expert,Partner_breeder,2,5,0.26145701021611406,-1.2366456327447115,0.8382779387935201,-1.0793894782929114,Spain,Adults,Expert
Adults-Amateur,Seniors-Expert,Partner_breeder,2,5,0.26145701021611406,1.2686611383190822,0.8382779387935201,1.3308847289391934,Spain,Adults,Amateur
Seniors-Expert,Seniors-Expert,Partner_breeder,2,5,0.10514279017686864,-1.6853742243187595,-0.1343287110276904,0.12574762532314096,Venezuela,Seniors,Expert
Adults-Amateur,Adults-Expert,Partner_breeder,3,5,1.3807362709045503,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,Amateur
Adults-Amateur,Adults-Expert,Partner_breeder,3,5,1.3807362709045503,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,Amateur
Adults-Amateur,Adults-Expert,Partner_breeder,4,5,1.3807362709045503,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,Amateur
Seniors-No_breed,Adults-Expert,Experts,3,5,1.1020529304124929,0.923011401108746,1.1709561116309417,0.995282429464189,Portugal,Seniors,No_breed
Adults-Formation,Adults-Expert,Partner_breeder,3,4,-1.4332753779510634,-1.572748904781583,-2.9247482553251096,-1.3463557306259333,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,3,4,-1.4332753779510634,-1.572748904781583,-2.9247482553251096,-1.3463557306259333,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,3,4,-1.4332753779510634,-1.572748904781583,-2.9247482553251096,-1.3463557306259333,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,2,5,-0.727475229280506,-0.6834209359648257,-0.9026330768952676,-1.613321982958955,Portugal,Adults,Formation
Seniors-Formation,Adults-Expert,Partner_breeder,2,5,1.3807362709045503,-0.540818758049999,0.3781993607898864,0.995282429464189,Brazil,Seniors,Formation
Adults-No_breed,Seniors-Expert,Partner_breeder,3,5,1.1020529304124929,-0.540818758049999,0.3781993607898864,0.995282429464189,Portugal,Adults,No_breed
Adults-No_breed,Adults-Expert,Partner_breeder,3,5,1.1020529304124929,-0.540818758049999,0.3781993607898864,0.995282429464189,Portugal,Adults,No_breed
Seniors-Formation,Seniors-Formation,Partner_breeder,2,1,-2.1389783782354193,-1.4777992647492098,-1.0554613507525341,-0.743787178817907,Portugal,Seniors,Formation
Seniors-Formation,Adults-Expert,Partner_breeder,2,5,-0.6130840095666986,1.2686611383190822,0.12144758302230992,0.995282429464189,Brazil,Seniors,Formation
Seniors-Formation,Adults-Expert,Partner_breeder,2,5,-0.6130840095666986,1.2686611383190822,0.12144758302230992,0.995282429464189,Brazil,Seniors,Formation
Seniors-Formation,Adults-Expert,Partner_breeder,2,5,-0.6130840095666986,1.2686611383190822,0.12144758302230992,0.995282429464189,Brazil,Seniors,Formation
Adults-Formation,Adults-Expert,Partner_breeder,3,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.995282429464189,Portugal,Adults,Formation
Seniors-Expert,Adults-Expert,Third_party,NA,5,-1.1749965892710204,-0.26827101682572524,-2.360746173411166,-2.2158905347669813,Brazil,Seniors,Expert
Adults-Formation,Adults-Expert,Partner_breeder,3,4,0.8188236912002285,-1.124020313207535,0.24982347190609824,0.995282429464189,Portugal,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,3,4,0.8188236912002285,-1.124020313207535,0.24982347190609824,0.995282429464189,Portugal,Adults,Formation
Seniors-Expert,Adults-Expert,Partner_breeder,3,4,0.8188236912002285,1.2686611383190822,0.8382779387935201,0.3927138776561628,Portugal,Seniors,Expert
Seniors-Expert,Adults-Expert,Partner_breeder,3,4,0.8188236912002285,1.2686611383190822,0.8382779387935201,0.3927138776561628,Portugal,Seniors,Expert
Seniors-Expert,Adults-Expert,Partner_breeder,3,4,0.8188236912002285,1.2686611383190822,0.8382779387935201,0.3927138776561628,Portugal,Seniors,Expert
Adults-Formation,Adults-Expert,Avicultural_directive,4,1,1.3807362709045503,0.1459533160966324,1.55510829456473,2.2004195330802414,Brazil,Adults,Formation
Adults-No_breed,Adults-Expert,Partner_breeder,2,5,0.4007986804621427,0.923011401108746,0.8382779387935201,-0.4768209264848852,Portugal,Adults,No_breed
Adults-No_breed,Adults-Expert,Partner_breeder,3,5,-0.5881335590344774,-1.1971223091935972,-0.3386309949813237,0.12574762532314096,Portugal,Adults,No_breed
Adults-No_breed,Adults-Expert,Partner_breeder,3,5,-0.5881335590344774,-1.1971223091935972,-0.3386309949813237,0.12574762532314096,Portugal,Adults,No_breed
Adults-No_breed,Adults-Expert,Partner_breeder,3,5,-0.5881335590344774,-1.1971223091935972,-0.3386309949813237,0.12574762532314096,Portugal,Adults,No_breed
Adults-Expert,Seniors-Expert,Avicultural_directive,2,5,0.38382613066892585,-0.05709424319887709,0.24982347190609824,0.4613499247981455,Brazil,Adults,Expert
Adults-Expert,Seniors-Expert,Partner_breeder,2,5,0.38382613066892585,-0.05709424319887709,0.24982347190609824,0.4613499247981455,Brazil,Adults,Expert
Adults-Expert,Adults-Expert,Avicultural_directive,2,5,0.38382613066892585,-0.05709424319887709,0.24982347190609824,0.4613499247981455,Brazil,Adults,Expert
YoungAdults-Formation,Adults-Expert,Partner_breeder,3,5,-1.8513003886891493,0.5042596679123478,-1.183837239636322,-2.2158905347669813,Portugal,YoungAdults,Formation
YoungAdults-Formation,Adults-Expert,Partner_breeder,3,5,-1.8513003886891493,0.5042596679123478,-1.183837239636322,-2.2158905347669813,Portugal,YoungAdults,Formation
Seniors-Formation,Seniors-Expert,Partner_breeder,2,4,1.1020529304124929,0.5773616638984099,1.55510829456473,0.995282429464189,Portugal,Seniors,Formation
Seniors-Formation,Seniors-Expert,Partner_breeder,2,4,1.1020529304124929,0.5773616638984099,1.55510829456473,0.995282429464189,Portugal,Seniors,Formation
Seniors-Formation,Seniors-Expert,Partner_breeder,2,4,1.1020529304124929,0.5773616638984099,1.55510829456473,0.995282429464189,Portugal,Seniors,Formation
Seniors-Expert,Adults-Expert,Partner_breeder,2,5,-2.1593829300474328,0.5042596679123478,-0.4670068838651119,-1.3463557306259333,Portugal,Seniors,Expert
Seniors-Expert,Adults-Expert,Partner_breeder,2,5,-2.1593829300474328,0.5042596679123478,-0.4670068838651119,-1.3463557306259333,Portugal,Seniors,Expert
Seniors-Expert,Adults-Expert,Partner_breeder,2,5,-2.1593829300474328,0.5042596679123478,-0.4670068838651119,-1.3463557306259333,Portugal,Seniors,Expert
Adults-No_breed,Adults-Expert,Partner_breeder,3,4,-0.9982778174197608,-0.1520438832312504,-1.183837239636322,-2.2158905347669813,Portugal,Adults,No_breed
Adults-No_breed,Adults-Formation,Partner_breeder,3,4,-0.9982778174197608,-0.1520438832312504,-1.183837239636322,-2.2158905347669813,Portugal,Adults,No_breed
Adults-No_breed,Adults-Expert,Partner_breeder,3,4,-0.9982778174197608,-0.1520438832312504,-1.183837239636322,-2.2158905347669813,Portugal,Adults,No_breed
Seniors-Formation,Adults-Expert,Partner_breeder,3,5,-0.3094502185424201,-1.572748904781583,-1.1069353608489008,-0.743787178817907,Brazil,Seniors,Formation
Seniors-Formation,Adults-Expert,Partner_breeder,3,5,-0.3174281192814245,0.5692324495670714,-0.4670068838651119,0.12574762532314096,Brazil,Seniors,Formation
Seniors-No_breed,Seniors-Expert,Partner_breeder,3,1,0.9457387103732476,-0.2601418024943866,0.3781993607898864,-0.4768209264848852,Brazil,Seniors,No_breed
Seniors-No_breed,Seniors-Amateur,Partner_breeder,3,1,0.9457387103732476,-0.2601418024943866,0.3781993607898864,-0.4768209264848852,Brazil,Seniors,No_breed
Seniors-No_breed,Seniors-Expert,Partner_breeder,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.12574762532314096,Brazil,Seniors,No_breed
Adults-Formation,Seniors-Formation,Partner_breeder,3,5,0.8188236912002285,1.2686611383190822,0.8382779387935201,0.3927138776561628,Brazil,Adults,Formation
Adults-Formation,Adults-Formation,Partner_breeder,2,5,0.8188236912002285,1.2686611383190822,0.8382779387935201,0.3927138776561628,Brazil,Adults,Formation
Adults-Formation,Adults-Formation,Partner_breeder,2,5,0.8188236912002285,1.2686611383190822,0.8382779387935201,0.3927138776561628,Brazil,Adults,Formation
Seniors-Amateur,Seniors-Expert,Partner_breeder,3,5,1.1020529304124929,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Seniors,Amateur
Seniors-Amateur,Seniors-Expert,Partner_breeder,3,5,1.1020529304124929,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Seniors,Amateur
Seniors-Amateur,Seniors-Expert,Partner_breeder,3,5,1.1020529304124929,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Seniors,Amateur
Adults-Formation,Seniors-Expert,Partner_breeder,3,5,-0.44434313845444345,-0.1520438832312504,-1.183837239636322,2.2004195330802414,Brazil,Adults,Formation
Adults-Formation,Seniors-Expert,Partner_breeder,3,5,-0.44434313845444345,-0.1520438832312504,-1.183837239636322,2.2004195330802414,Brazil,Adults,Formation
Seniors-Formation,Seniors-Expert,Partner_breeder,4,5,-0.1780864490353959,-0.2601418024943866,-1.0554613507525341,-1.3463557306259333,Brazil,Seniors,Formation
Seniors-Formation,Seniors-Expert,Partner_breeder,4,5,-0.1780864490353959,-0.2601418024943866,-1.0554613507525341,-1.3463557306259333,Brazil,Seniors,Formation
Adults-No_breed,Adults-Amateur,Partner_breeder,2,4,-1.8557491390231544,-1.572748904781583,-0.3386309949813237,0.12574762532314096,Brazil,Adults,No_breed
Adults-Amateur,Adults-Amateur,Partner_breeder,3,4,-1.1624727898118088,-0.540818758049999,-1.1069353608489008,0.12574762532314096,Brazil,Adults,Amateur
Seniors-Amateur,Adults-Expert,Partner_breeder,3,4,-1.7119587184431206,-0.9164453536379848,-2.1564438894575324,1.3308847289391934,Brazil,Seniors,Amateur
Seniors-Amateur,Adults-Expert,Partner_breeder,3,4,-1.7119587184431206,-0.9164453536379848,-2.1564438894575324,1.3308847289391934,Brazil,Seniors,Amateur
Seniors-Amateur,Adults-Expert,Partner_breeder,3,4,-1.7119587184431206,-0.9164453536379848,-2.1564438894575324,1.3308847289391934,Brazil,Seniors,Amateur
Adults-Expert,Adults-Expert,Partner_breeder,3,1,-0.15313599850317466,-0.1520438832312504,-0.1343287110276904,0.12574762532314096,Brazil,Adults,Expert
Adults-Expert,Adults-Expert,Partner_breeder,3,1,-0.15313599850317466,-0.1520438832312504,-0.1343287110276904,0.12574762532314096,Brazil,Adults,Expert
Adults-Expert,Adults-Expert,Partner_breeder,3,1,-0.15313599850317466,-0.1520438832312504,-0.1343287110276904,0.12574762532314096,Brazil,Adults,Expert
YoungAdults-Formation,Adults-Expert,Partner_breeder,2,4,-0.727475229280506,-0.4976936204415864,-0.1343287110276904,-0.743787178817907,Brazil,YoungAdults,Formation
YoungAdults-Formation,Adults-Expert,Partner_breeder,2,4,-0.727475229280506,-0.4976936204415864,-0.1343287110276904,-0.743787178817907,Brazil,YoungAdults,Formation
YoungAdults-Formation,Adults-Expert,Partner_breeder,2,4,-0.727475229280506,-0.4976936204415864,-0.1343287110276904,-0.743787178817907,Brazil,YoungAdults,Formation
Adults-Expert,Seniors-Expert,Partner_breeder,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,Expert
Adults-Expert,Seniors-Expert,Experts,4,4,-1.150046138738799,-0.26466920276842737,-0.26270459991147865,-0.14121862700988075,Brazil,Adults,Expert
Adults-Expert,Seniors-Expert,Partner_breeder,3,4,-1.150046138738799,-0.26466920276842737,-0.26270459991147865,-0.14121862700988075,Brazil,Adults,Expert
Adults-Expert,Seniors-Expert,Experts,4,4,-1.150046138738799,-0.26466920276842737,-0.26270459991147865,-0.14121862700988075,Brazil,Adults,Expert
Adults-Formation,Adults-Expert,Experts,4,3,-0.727475229280506,-0.1520438832312504,-0.5184808939614789,1.3308847289391934,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Experts,4,3,-0.727475229280506,-0.1520438832312504,-0.5184808939614789,1.3308847289391934,Brazil,Adults,Formation
Adults-Expert,Adults-Expert,Partner_breeder,3,5,0.4007986804621427,0.923011401108746,0.45412575585973153,0.3927138776561628,Brazil,Adults,Expert
Adults-Expert,Adults-Expert,Partner_breeder,3,5,0.4007986804621427,0.923011401108746,0.45412575585973153,0.3927138776561628,Brazil,Adults,Expert
Adults-Expert,Adults-Expert,Partner_breeder,3,5,0.4007986804621427,0.923011401108746,0.45412575585973153,0.3927138776561628,Brazil,Adults,Expert
Seniors-Expert,Seniors-Expert,Partner_breeder,3,5,0.8063970401272188,0.9879841827634696,1.1709561116309417,-0.4768209264848852,Brazil,Seniors,Expert
Seniors-Expert,Seniors-Expert,Partner_breeder,3,5,0.8063970401272188,0.9879841827634696,1.1709561116309417,-0.4768209264848852,Brazil,Seniors,Expert
Seniors-Expert,Seniors-Expert,Partner_breeder,2,5,0.8063970401272188,0.9879841827634696,1.1709561116309417,-0.4768209264848852,Brazil,Seniors,Expert
Adults-No_breed,Adults-Expert,Avicultural_directive,3,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Adults,No_breed
Adults-No_breed,Adults-Expert,Avicultural_directive,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Adults,No_breed
Adults-No_breed,Seniors-Expert,Experts,NA,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Adults,No_breed
Seniors-Formation,Seniors-Amateur,Partner_breeder,3,5,0.11756944124987818,0.6123575871754839,0.12144758302230992,0.7283161771311671,Brazil,Seniors,Formation
Adults-Formation,Adults-Amateur,Partner_breeder,4,1,-1.8308958368771353,-1.434674127140797,-1.9521416055038991,-0.743787178817907,Brazil,Adults,Formation
Adults-Expert,Adults-Expert,Partner_breeder,3,5,1.3807362709045503,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,Expert
Adults-Expert,Adults-Expert,Partner_breeder,3,5,1.3807362709045503,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,Expert
Adults-Expert,Seniors-Expert,Partner_breeder,3,5,1.3807362709045503,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,Expert
Adults-Formation,Seniors-Expert,Partner_breeder,4,5,0.5401403507081713,0.33168063161987155,0.06997357292594295,0.995282429464189,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,3,5,0.5401403507081713,0.33168063161987155,0.06997357292594295,0.995282429464189,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,3,5,0.5401403507081713,0.33168063161987155,0.06997357292594295,0.995282429464189,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,3,4,1.1020529304124929,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,3,4,1.1020529304124929,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,3,4,1.1020529304124929,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,Formation
Adults-Expert,Adults-Expert,Partner_breeder,3,4,-0.8713627982467419,-0.7133977943424753,-0.8511590667989005,-0.4768209264848852,Brazil,Adults,Expert
Adults-Expert,Adults-Expert,Partner_breeder,2,4,-0.8713627982467419,-0.7133977943424753,-0.8511590667989005,-0.4768209264848852,Brazil,Adults,Expert
Adults-Expert,Adults-Expert,Partner_breeder,2,4,-0.8713627982467419,-0.7133977943424753,-0.8511590667989005,-0.4768209264848852,Brazil,Adults,Expert
Adults-Formation,Adults-Expert,Partner_breeder,3,5,-2.240942946876217,1.2686611383190822,0.12144758302230992,2.2004195330802414,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Avicultural_directive,3,5,-2.240942946876217,1.2686611383190822,0.12144758302230992,2.2004195330802414,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Experts,3,5,-2.240942946876217,1.2686611383190822,0.12144758302230992,2.2004195330802414,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,2,1,0.6794820209541999,0.1459533160966324,0.8382779387935201,0.995282429464189,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,2,1,0.6794820209541999,0.1459533160966324,0.8382779387935201,0.995282429464189,Brazil,Adults,Formation
Seniors-Expert,Seniors-Expert,Avicultural_directive,3,5,1.3807362709045503,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Seniors,Expert
Seniors-Expert,Seniors-Expert,Avicultural_directive,3,5,1.3807362709045503,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Seniors,Expert
Adults-Amateur,Adults-Expert,Partner_breeder,3,4,1.2413946006585217,0.8499094051226839,0.9666538276773085,2.2004195330802414,Brazil,Adults,Amateur
Adults-Expert,Adults-Expert,Partner_breeder,2,5,0.9457387103732476,0.8499094051226839,0.9666538276773085,-0.743787178817907,Brazil,Adults,Expert
Adults-Amateur,Adults-Expert,Partner_breeder,4,5,-0.3094502185424201,0.22358271235673532,0.24982347190609824,0.7283161771311671,Brazil,Adults,Amateur
Adults-Amateur,Adults-Expert,Partner_breeder,4,5,-0.3094502185424201,0.22358271235673532,0.24982347190609824,0.7283161771311671,Brazil,Adults,Amateur
Adults-Amateur,Adults-Expert,Partner_breeder,4,5,-0.3094502185424201,0.22358271235673532,0.24982347190609824,0.7283161771311671,Brazil,Adults,Amateur
Seniors-Expert,Adults-Expert,Partner_breeder,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Seniors,Expert
Seniors-Expert,Seniors-Expert,Partner_breeder,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Seniors,Expert
Seniors-Formation,Adults-Expert,Avicultural_directive,NA,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Seniors,Formation
Adults-Formation,Adults-Formation,Partner_breeder,3,1,-1.150046138738799,-0.1520438832312504,-0.8511590667989005,0.7283161771311671,Brazil,Adults,Formation
Adults-Formation,YoungAdults-Formation,Partner_breeder,3,1,-1.150046138738799,-0.1520438832312504,-0.8511590667989005,0.7283161771311671,Brazil,Adults,Formation
Adults-Formation,Seniors-Formation,Partner_breeder,3,1,-1.150046138738799,-0.1520438832312504,-0.8511590667989005,0.7283161771311671,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,1.5978509812722153,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,1.5978509812722153,Brazil,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,1.5978509812722153,Brazil,Adults,Formation
Adults-Expert,Adults-Expert,Partner_breeder,4,5,-1.4332753779510634,0.8499094051226839,-1.183837239636322,-1.3463557306259333,Brazil,Adults,Expert
Adults-No_breed,Adults-Expert,Partner_breeder,4,5,1.3807362709045503,1.2686611383190822,1.55510829456473,2.2004195330802414,Brazil,Adults,No_breed
Adults-No_breed,Adults-Expert,Partner_breeder,3,5,0.8188236912002285,1.2686611383190822,0.8382779387935201,2.2004195330802414,Brazil,Adults,No_breed
Adults-No_breed,Adults-Expert,Partner_breeder,4,5,0.8188236912002285,1.2686611383190822,0.8382779387935201,2.2004195330802414,Brazil,Adults,No_breed
Seniors-Formation,Seniors-Expert,Partner_breeder,NA,5,1.3807362709045503,1.2686611383190822,1.1709561116309417,-1.3463557306259333,Brazil,Seniors,Formation
Seniors-Formation,Seniors-Expert,Partner_breeder,NA,5,1.3807362709045503,1.2686611383190822,1.1709561116309417,-1.3463557306259333,Brazil,Seniors,Formation
Seniors-Formation,Seniors-Expert,Experts,2,5,0.9627112601664642,0.9879841827634696,1.55510829456473,-0.4768209264848852,Brazil,Seniors,Formation
Seniors-Formation,Seniors-Expert,Experts,2,5,0.9627112601664642,0.9879841827634696,1.55510829456473,-0.4768209264848852,Brazil,Seniors,Formation
Seniors-Formation,Seniors-Expert,Experts,2,5,0.9627112601664642,0.9879841827634696,1.55510829456473,-0.4768209264848852,Brazil,Seniors,Formation
